Time (s),Altitude (m),Z Acceleration (m/s^2)
0,0,-4.6352
0.01,0,5.6788
0.02,2.84e-4,15.996
0.03,0.0016519,26.329
0.04,0.0051364,38.329
0.05,0.011854,51.423
0.06,0.023061,57.877
0.07,0.039734,59.77
0.08,0.062292,61.668
0.09,0.090925,63.568
0.1,0.12582,65.469
0.11,0.16717,67.372
0.12,0.21517,69.277
0.13,0.27,71.182
0.14,0.33186,71.986
0.15,0.40087,71.183
0.16,0.47705,70.366
0.17,0.56031,69.549
0.18,0.65057,68.731
0.19,0.74775,67.912
0.19994,0.8511,67.1
0.20925,0.95401,66.364
0.21805,1.0566,65.699
0.23126,1.22,65.45
0.25106,1.4866,65.305
0.28076,1.9345,65.087
0.32532,2.7143,64.757
0.37532,3.743,64.631
0.42532,4.9337,64.684
0.47532,6.2863,64.734
0.52532,7.801,64.781
0.57532,9.4779,64.826
0.62532,11.317,64.868
0.67532,13.319,64.909
0.72532,15.483,64.947
0.77532,17.81,64.983
0.82532,20.299,65.017
0.87532,22.951,65.048
0.92532,25.766,65.076
0.97532,28.744,65.101
1.0253,31.885,65.123
1.0753,35.189,65.142
1.1253,38.657,65.158
1.1753,42.287,65.17
1.2253,46.08,65.178
1.2753,50.037,65.183
1.3253,54.157,65.184
1.3753,58.44,65.181
1.4253,62.886,65.173
1.4753,67.496,65.162
1.5253,72.268,65.148
1.5753,77.204,65.132
1.6253,82.303,65.114
1.6753,87.565,65.093
1.7253,92.99,65.073
1.7753,98.577,65.052
1.8253,104.33,65.031
1.8753,110.24,65.008
1.9253,116.32,64.988
1.9753,122.56,64.969
2.0253,128.96,64.949
2.0753,135.52,64.928
2.1253,142.25,64.903
2.1753,149.14,64.874
2.2253,156.19,64.826
2.2753,163.4,64.741
2.3253,170.78,64.646
2.3753,178.32,64.544
2.4253,186.02,64.434
2.4753,193.88,64.318
2.5253,201.9,64.195
2.5753,210.09,64.062
2.6253,218.43,63.92
2.6753,226.93,63.77
2.7253,235.6,63.614
2.7753,244.42,63.457
2.8253,253.4,63.306
2.8753,262.54,63.139
2.9253,271.84,62.789
2.9753,281.3,62.394
3.0253,290.91,61.995
3.0753,300.68,61.591
3.1253,310.6,61.18
3.1753,320.68,60.759
3.2253,330.91,60.329
3.2753,341.29,59.889
3.3253,351.82,59.434
3.3753,362.5,58.968
3.4253,373.32,58.71
3.4753,384.3,58.512
3.5253,395.42,57.924
3.5753,406.69,57.332
3.6253,418.1,56.747
3.6753,429.65,56.171
3.7253,441.35,55.596
